merge_name,position,season,gsis_id
frank gore,RB,2020,00-0023500
frank gore,RB,2021,00-0023500
frank gore,RB,2024,00-0039471
frank gore,RB,2025,00-0039471
mike williams,WR,2020,00-0033536
mike williams,WR,2021,00-0033536
mike williams,WR,2022,00-0033536
mike williams,WR,2023,00-0033536
mike williams,WR,2024,00-0033536
mike thomas,WR,2020,00-0033114
mike thomas,WR,2021,00-0033114
mike thomas,WR,2022,00-0033114
isaiah williams,WR,2024,00-0039451
kyle williams,WR,2025,00-0040131
kyle williams,WR,2026,00-0040131
